"startTime","framework","runNumber","factor","factorValue"
"warm_0","k8s","1","resTime",27.0
"cold_0","k8s","1","resTime",3.0
"warm_1","k8s","1","resTime",28.0
"cold_1","k8s","1","resTime",3.0
"warm_2","k8s","1","resTime",27.0
"cold_2","k8s","1","resTime",3.0
"warm_0","k8s","2","resTime",28.0
"cold_0","k8s","2","resTime",3.0
"warm_1","k8s","2","resTime",27.0
"cold_1","k8s","2","resTime",3.0
"warm_2","k8s","2","resTime",27.0
"cold_2","k8s","2","resTime",3.0
"warm_0","k8s","3","resTime",45.0
"cold_0","k8s","3","resTime",3.0
"warm_1","k8s","3","resTime",27.0
"cold_1","k8s","3","resTime",3.0
"warm_2","k8s","3","resTime",29.0
"cold_2","k8s","3","resTime",3.0
"warm_0","k8s","4","resTime",28.0
"cold_0","k8s","4","resTime",3.0
"warm_1","k8s","4","resTime",18.0
"cold_1","k8s","4","resTime",3.0
"warm_2","k8s","4","resTime",27.0
"cold_2","k8s","4","resTime",3.0
"warm_0","k8s","5","resTime",28.0
"cold_0","k8s","5","resTime",3.0
"warm_1","k8s","5","resTime",28.0
"cold_1","k8s","5","resTime",3.0
"warm_2","k8s","5","resTime",27.0
"cold_2","k8s","5","resTime",3.0
"warm_0","k8s","6","resTime",27.0
"cold_0","k8s","6","resTime",4.0
"warm_1","k8s","6","resTime",29.0
"cold_1","k8s","6","resTime",3.0
"warm_2","k8s","6","resTime",27.0
"cold_2","k8s","6","resTime",3.0
"warm_0","swarm","1","resTime",22.0
"cold_0","swarm","1","resTime",27.0
"warm_1","swarm","1","resTime",20.0
"cold_1","swarm","1","resTime",30.0
"warm_2","swarm","1","resTime",22.0
"cold_2","swarm","1","resTime",28.0
"warm_0","swarm","2","resTime",22.0
"cold_0","swarm","2","resTime",28.0
"warm_1","swarm","2","resTime",21.0
"cold_1","swarm","2","resTime",28.0
"warm_2","swarm","2","resTime",19.0
"cold_2","swarm","2","resTime",27.0
"warm_0","swarm","3","resTime",20.0
"cold_0","swarm","3","resTime",28.0
"warm_1","swarm","3","resTime",21.0
"cold_1","swarm","3","resTime",29.0
"warm_2","swarm","3","resTime",21.0
"cold_2","swarm","3","resTime",28.0
"warm_0","swarm","4","resTime",20.0
"cold_0","swarm","4","resTime",28.0
"warm_1","swarm","4","resTime",21.0
"cold_1","swarm","4","resTime",28.0
"warm_2","swarm","4","resTime",21.0
"cold_2","swarm","4","resTime",27.0
"warm_0","swarm","5","resTime",19.0
"cold_0","swarm","5","resTime",28.0
"warm_1","swarm","5","resTime",19.0
"cold_1","swarm","5","resTime",28.0
"warm_2","swarm","5","resTime",22.0
"cold_2","swarm","5","resTime",28.0
"warm_0","swarm","6","resTime",21.0
"cold_0","swarm","6","resTime",28.0
"warm_1","swarm","6","resTime",20.0
"cold_1","swarm","6","resTime",27.0
"warm_2","swarm","6","resTime",21.0
"cold_2","swarm","6","resTime",29.0
"warm_0","k8s","1","throughput",1484.51497312516
"cold_0","k8s","1","throughput",259.72862836415743
"warm_1","k8s","1","throughput",1478.4603619678817
"cold_1","k8s","1","throughput",382.30835146002244
"warm_2","k8s","1","throughput",1498.7080103359174
"cold_2","k8s","1","throughput",421.910234960355
"warm_0","k8s","2","throughput",1443.1450609604378
"cold_0","k8s","2","throughput",487.7228388832829
"warm_1","k8s","2","throughput",1544.1959531416398
"cold_1","k8s","2","throughput",393.0870891223314
"warm_2","k8s","2","throughput",1323.8986532755077
"cold_2","k8s","2","throughput",181.84676329109945
"warm_0","k8s","3","throughput",972.1756620851492
"cold_0","k8s","3","throughput",407.7615298087739
"warm_1","k8s","3","throughput",1455.4579673776664
"cold_1","k8s","3","throughput",264.76764356797224
"warm_2","k8s","3","throughput",1421.5686274509803
"cold_2","k8s","3","throughput",395.39164223873473
"warm_0","k8s","4","throughput",1511.9916579770595
"cold_0","k8s","4","throughput",272.26212270572216
"warm_1","k8s","4","throughput",1329.0559120073328
"cold_1","k8s","4","throughput",262.3603383543674
"warm_2","k8s","4","throughput",1521.1119853134016
"cold_2","k8s","4","throughput",326.30098452883266
"warm_0","k8s","5","throughput",1392.5570228091237
"cold_0","k8s","5","throughput",454.4030084612974
"warm_1","k8s","5","throughput",1485.2752880921894
"cold_1","k8s","5","throughput",266.8998205328793
"warm_2","k8s","5","throughput",1472.8288471305232
"cold_2","k8s","5","throughput",286.7737948084054
"warm_0","k8s","6","throughput",1469.0982776089159
"cold_0","k8s","6","throughput",250.38853393196337
"warm_1","k8s","6","throughput",1457.6526765518975
"cold_1","k8s","6","throughput",422.1559065434165
"warm_2","k8s","6","throughput",1458.3857178777973
"cold_2","k8s","6","throughput",434.7174336681157
"warm_0","swarm","1","throughput",1742.7884615384617
"cold_0","swarm","1","throughput",1622.8315612758815
"warm_1","swarm","1","throughput",1868.5567010309278
"cold_1","swarm","1","throughput",1034.4212591403602
"warm_2","swarm","1","throughput",1829.0760012614319
"cold_2","swarm","1","throughput",1602.2099447513813
"warm_0","swarm","2","throughput",1896.6644865925443
"cold_0","swarm","2","throughput",437.6651816053764
"warm_1","swarm","2","throughput",1810.2372034956304
"cold_1","swarm","2","throughput",1598.6769570011024
"warm_2","swarm","2","throughput",2020.20202020202
"cold_2","swarm","2","throughput",1662.3674405273719
"warm_0","swarm","3","throughput",1897.284919856068
"cold_0","swarm","3","throughput",449.82162246005896
"warm_1","swarm","3","throughput",1873.9903069466882
"cold_1","swarm","3","throughput",1553.7101526922047
"warm_2","swarm","3","throughput",1865.5516243165005
"cold_2","swarm","3","throughput",1920.5298013245033
"warm_0","swarm","4","throughput",1982.9059829059831
"cold_0","swarm","4","throughput",1688.99242865463
"warm_1","swarm","4","throughput",1818.1818181818182
"cold_1","swarm","4","throughput",1600.4415011037527
"warm_2","swarm","4","throughput",1851.8518518518517
"cold_2","swarm","4","throughput",1628.2987085906793
"warm_0","swarm","5","throughput",1964.1043007111414
"cold_0","swarm","5","throughput",1839.5179194418015
"warm_1","swarm","5","throughput",1845.3706649697742
"cold_1","swarm","5","throughput",1606.6481994459834
"warm_2","swarm","5","throughput",1831.386169876855
"cold_2","swarm","5","throughput",1593.4065934065934
"warm_0","swarm","6","throughput",1874.5959922430511
"cold_0","swarm","6","throughput",437.6617445577713
"warm_1","swarm","6","throughput",1957.4755315558555
"cold_1","swarm","6","throughput",1948.270070540813
"warm_2","swarm","6","throughput",1891.0987936093902
"cold_2","swarm","6","throughput",1781.874039938556
"warm_0","k8s","1","errorPct",0.0
"cold_0","k8s","1","errorPct",0.0
"warm_1","k8s","1","errorPct",0.0
"cold_1","k8s","1","errorPct",0.0
"warm_2","k8s","1","errorPct",0.0
"cold_2","k8s","1","errorPct",0.0
"warm_0","k8s","2","errorPct",0.0
"cold_0","k8s","2","errorPct",0.0
"warm_1","k8s","2","errorPct",0.0
"cold_1","k8s","2","errorPct",0.0
"warm_2","k8s","2","errorPct",0.0
"cold_2","k8s","2","errorPct",0.27586207
"warm_0","k8s","3","errorPct",0.0
"cold_0","k8s","3","errorPct",0.0
"warm_1","k8s","3","errorPct",0.0
"cold_1","k8s","3","errorPct",0.0
"warm_2","k8s","3","errorPct",0.0
"cold_2","k8s","3","errorPct",0.0
"warm_0","k8s","4","errorPct",0.0
"cold_0","k8s","4","errorPct",0.0
"warm_1","k8s","4","errorPct",0.0
"cold_1","k8s","4","errorPct",0.0
"warm_2","k8s","4","errorPct",0.0
"cold_2","k8s","4","errorPct",0.0
"warm_0","k8s","5","errorPct",0.0
"cold_0","k8s","5","errorPct",0.0
"warm_1","k8s","5","errorPct",0.0
"cold_1","k8s","5","errorPct",0.0
"warm_2","k8s","5","errorPct",0.0
"cold_2","k8s","5","errorPct",0.0
"warm_0","k8s","6","errorPct",0.0
"cold_0","k8s","6","errorPct",0.0
