"framework","runNumber","factor","factorValue"
"warm_0","k8s","1","resTime",3
"cold_0","k8s","1","resTime",3.0
"warm_1","k8s","1","resTime",3
"cold_1","k8s","1","resTime",3
"warm_2","k8s","1","resTime",3
"cold_2","k8s","1","resTime",3
"warm_0","k8s","2","resTime",3
"cold_0","k8s","2","resTime",3
"warm_1","k8s","2","resTime",3
"cold_1","k8s","2","resTime",3
"warm_2","k8s","2","resTime",3
"cold_2","k8s","2","resTime",3
"warm_0","k8s","3","resTime",3
"cold_0","k8s","3","resTime",3
"warm_1","k8s","3","resTime",3
"cold_1","k8s","3","resTime",3
"warm_2","k8s","3","resTime",3
"cold_2","k8s","3","resTime",3
"warm_0","k8s","4","resTime",3
"cold_0","k8s","4","resTime",3.0
"warm_1","k8s","4","resTime",3
"cold_1","k8s","4","resTime",3
"warm_2","k8s","4","resTime",3
"cold_2","k8s","4","resTime",3
"warm_0","k8s","5","resTime",3
"cold_0","k8s","5","resTime",3.0
"warm_1","k8s","5","resTime",3
"cold_1","k8s","5","resTime",3
"warm_2","k8s","5","resTime",3
"cold_2","k8s","5","resTime",3
"warm_0","k8s","6","resTime",3
"cold_0","k8s","6","resTime",3
"warm_1","k8s","6","resTime",3
"cold_1","k8s","6","resTime",3
"warm_2","k8s","6","resTime",3
"cold_2","k8s","6","resTime",3
"warm_0","swarm","1","resTime",3
"cold_0","swarm","1","resTime",3
"warm_1","swarm","1","resTime",3
"cold_1","swarm","1","resTime",3
"warm_2","swarm","1","resTime",3
"cold_2","swarm","1","resTime",3
"warm_0","swarm","2","resTime",3
"cold_0","swarm","2","resTime",3
"warm_1","swarm","2","resTime",3
"cold_1","swarm","2","resTime",3
"warm_2","swarm","2","resTime",3
"cold_2","swarm","2","resTime",3
"warm_0","swarm","3","resTime",3
"cold_0","swarm","3","resTime",3
"warm_1","swarm","3","resTime",3
"cold_1","swarm","3","resTime",3
"warm_2","swarm","3","resTime",3
"cold_2","swarm","3","resTime",3.0
"warm_0","swarm","4","resTime",3
"cold_0","swarm","4","resTime",3
"warm_1","swarm","4","resTime",3
"cold_1","swarm","4","resTime",3
"warm_2","swarm","4","resTime",3
"cold_2","swarm","4","resTime",3
"warm_0","swarm","5","resTime",3
"cold_0","swarm","5","resTime",3
"warm_1","swarm","5","resTime",3
"cold_1","swarm","5","resTime",3
"warm_2","swarm","5","resTime",3
"cold_2","swarm","5","resTime",3
"warm_0","swarm","6","resTime",3
"cold_0","swarm","6","resTime",3
"warm_1","swarm","6","resTime",3
"cold_1","swarm","6","resTime",3
"warm_2","swarm","6","resTime",3
"cold_2","swarm","6","resTime",3
"warm_0","k8s","1","throughput",308.11895832232847
"cold_0","k8s","1","throughput",303.55097365406647
"warm_1","k8s","1","throughput",326.7604055795194
"cold_1","k8s","1","throughput",303.84955982705634
"warm_2","k8s","1","throughput",329.82753746112525
"cold_2","k8s","1","throughput",303.3596837944664
"warm_0","k8s","2","throughput",324.8677248677249
"cold_0","k8s","2","throughput",313.18120805369125
"warm_1","k8s","2","throughput",321.50140550074406
"cold_1","k8s","2","throughput",318.15206719755645
"warm_2","k8s","2","throughput",302.10275533457633
"cold_2","k8s","2","throughput",307.45308876238664
"warm_0","k8s","3","throughput",322.7823584749045
"cold_0","k8s","3","throughput",304.245775088671
"warm_1","k8s","3","throughput",318.0306417316395
"cold_1","k8s","3","throughput",318.01330280231167
"warm_2","k8s","3","throughput",313.9904182591377
"cold_2","k8s","3","throughput",311.60852609647947
"warm_0","k8s","4","throughput",314.78683216405824
"cold_0","k8s","4","throughput",304.90929053170913
"warm_1","k8s","4","throughput",317.11427639447646
"cold_1","k8s","4","throughput",308.62433862433863
"warm_2","k8s","4","throughput",318.2562199912702
"cold_2","k8s","4","throughput",301.4314505710299
"warm_0","k8s","5","throughput",301.1046871773694
"cold_0","k8s","5","throughput",299.38398357289526
"warm_1","k8s","5","throughput",304.65893659249974
"cold_1","k8s","5","throughput",305.1210964063399
"warm_2","k8s","5","throughput",325.7203484476212
"cold_2","k8s","5","throughput",319.0220958214833
"warm_0","k8s","6","throughput",338.73403019744484
"cold_0","k8s","6","throughput",310.44760232050663
"warm_1","k8s","6","throughput",327.4207128824024
"cold_1","k8s","6","throughput",304.32514217144046
"warm_2","k8s","6","throughput",325.629431139396
"cold_2","k8s","6","throughput",314.36270547022366
"warm_0","swarm","1","throughput",324.56042733140436
"cold_0","swarm","1","throughput",338.51778770820033
"warm_1","swarm","1","throughput",318.86513967091236
"cold_1","swarm","1","throughput",330.6127075894122
"warm_2","swarm","1","throughput",346.6658742422441
"cold_2","swarm","1","throughput",330.16358181921095
"warm_0","swarm","2","throughput",358.9317580456587
"cold_0","swarm","2","throughput",324.8315420170407
"warm_1","swarm","2","throughput",346.2954167656138
"cold_1","swarm","2","throughput",314.515259355117
"warm_2","swarm","2","throughput",323.78573411046347
"cold_2","swarm","2","throughput",310.1669679889397
"warm_0","swarm","3","throughput",325.64761054041986
"cold_0","swarm","3","throughput",317.4594535757048
"warm_1","swarm","3","throughput",333.52392932700553
"cold_1","swarm","3","throughput",326.57745926879795
"warm_2","swarm","3","throughput",341.5305345746238
"cold_2","swarm","3","throughput",204.07306319546504
"warm_0","swarm","4","throughput",286.0716037273173
"cold_0","swarm","4","throughput",332.8577950239671
"warm_1","swarm","4","throughput",335.38408463661455
"cold_1","swarm","4","throughput",311.4587782998718
"warm_2","swarm","4","throughput",353.87975489898685
"cold_2","swarm","4","throughput",313.3662834425701
"warm_0","swarm","5","throughput",346.74830579003685
"cold_0","swarm","5","throughput",324.65074859464573
"warm_1","swarm","5","throughput",344.8418563405262
"cold_1","swarm","5","throughput",321.7496828286171
"warm_2","swarm","5","throughput",312.44308747120897
"cold_2","swarm","5","throughput",317.4076291015944
"warm_0","swarm","6","throughput",327.5310236397327
"cold_0","swarm","6","throughput",319.66898668274234
"warm_1","swarm","6","throughput",343.6229749631811
"cold_1","swarm","6","throughput",333.60022876751503
"warm_2","swarm","6","throughput",344.2719707253733
"cold_2","swarm","6","throughput",210.13004791238876
"warm_0","k8s","1","errorPct",0.0
"cold_0","k8s","1","errorPct",0.05143151
"warm_1","k8s","1","errorPct",0.0
"cold_1","k8s","1","errorPct",0.0
"warm_2","k8s","1","errorPct",0.0
"cold_2","k8s","1","errorPct",0.0
"warm_0","k8s","2","errorPct",0.0
"cold_0","k8s","2","errorPct",0.0
"warm_1","k8s","2","errorPct",0.0
"cold_1","k8s","2","errorPct",0.0
"warm_2","k8s","2","errorPct",0.0
"cold_2","k8s","2","errorPct",0.0
"warm_0","k8s","3","errorPct",0.0
"cold_0","k8s","3","errorPct",0.0
"warm_1","k8s","3","errorPct",0.0
"cold_1","k8s","3","errorPct",0.0
"warm_2","k8s","3","errorPct",0.0
"cold_2","k8s","3","errorPct",0.0
"warm_0","k8s","4","errorPct",0.0
"cold_0","k8s","4","errorPct",0.017143836
"warm_1","k8s","4","errorPct",0.0
"cold_1","k8s","4","errorPct",0.0
"warm_2","k8s","4","errorPct",0.0
"cold_2","k8s","4","errorPct",0.0
"warm_0","k8s","5","errorPct",0.0
"cold_0","k8s","5","errorPct",0.017143836
"warm_1","k8s","5","errorPct",0.0
"cold_1","k8s","5","errorPct",0.0
"warm_2","k8s","5","errorPct",0.0
"cold_2","k8s","5","errorPct",0.0
"warm_0","k8s","6","errorPct",0.0
"cold_0","k8s","6","errorPct",0.0
"warm_1","k8s","6","errorPct",0.0
"cold_1","k8s","6","errorPct",0.0
"warm_2","k8s","6","errorPct",0.0
"cold_2","k8s","6","errorPct",0.0
"warm_0","swarm","1","errorPct",0.0
"cold_0","swarm","1","errorPct",0.0
"warm_1","swarm","1","errorPct",0.0
"cold_1","swarm","1","errorPct",0.0
"warm_2","swarm","1","errorPct",0.0
"cold_2","swarm","1","errorPct",0.0
"warm_0","swarm","2","errorPct",0.0
"cold_0","swarm","2","errorPct",0.0
"warm_1","swarm","2","errorPct",0.0
"cold_1","swarm","2","errorPct",0.0
"warm_2","swarm","2","errorPct",0.0
"cold_2","swarm","2","errorPct",0.0
"warm_0","swarm","3","errorPct",0.0
"cold_0","swarm","3","errorPct",0.0
"warm_1","swarm","3","errorPct",0.0
"cold_1","swarm","3","errorPct",0.0
"warm_2","swarm","3","errorPct",0.0
"cold_2","swarm","3","errorPct",0.017143836
"warm_0","swarm","4","errorPct",0.0
"cold_0","swarm","4","errorPct",0.0
"warm_1","swarm","4","errorPct",0.0
"cold_1","swarm","4","errorPct",0.0
"warm_2","swarm","4","errorPct",0.0
"cold_2","swarm","4","errorPct",0.0
"warm_0","swarm","5","errorPct",0.0
"cold_0","swarm","5","errorPct",0.0
"warm_1","swarm","5","errorPct",0.0
"cold_1","swarm","5","errorPct",0.0
"warm_2","swarm","5","errorPct",0.0
"cold_2","swarm","5","errorPct",0.0
"warm_0","swarm","6","errorPct",0.0
"cold_0","swarm","6","errorPct",0.0
"warm_1","swarm","6","errorPct",0.0
"cold_1","swarm","6","errorPct",0.0
"warm_2","swarm","6","errorPct",0.0
"cold_2","swarm","6","errorPct",0.0
